LAT,LON,M2,USD,NEIGHBORHOOD,COMMUNE,YEAR
-58.38951129484752,-34.62680397629154,301.0,145000.0,CONSTITUCION,1,2014
-58.38981858846049,-34.625049824778124,230.0,160000.0,CONSTITUCION,1,2014
-58.3857062910409,-34.62829116616653,158.0,170000.0,CONSTITUCION,1,2014
-58.384291481709674,-34.618484490524835,170.0,195000.0,CONSTITUCION,1,2014
-58.38735050203927,-34.62484515305766,286.0,198000.0,CONSTITUCION,1,2014
-58.38737036956748,-34.62617131149815,374.0,220000.0,CONSTITUCION,1,2014
-58.38735050203927,-34.62484515305766,370.0,230000.0,CONSTITUCION,1,2014
-58.37866021108383,-34.61959697547461,135.0,280000.0,CONSTITUCION,1,2014
-58.3874237331622,-34.61865263784131,329.0,310000.0,CONSTITUCION,1,2014
-58.38599728874034,-34.619848934157446,350.0,320000.0,CONSTITUCION,1,2014
-58.38415579217014,-34.63237494351764,410.0,368000.0,CONSTITUCION,1,2014
-58.38900308492625,-34.62003450204155,288.0,380000.0,CONSTITUCION,1,2014
-58.37708241521713,-34.62349021747858,1160.0,380000.0,CONSTITUCION,1,2014
-58.3858713502837,-34.61854946254533,344.0,390000.0,CONSTITUCION,1,2014
-58.385813568792116,-34.62326550768625,320.0,400000.0,CONSTITUCION,1,2014
-58.38437228331267,-34.62217814718656,300.0,400000.0,CONSTITUCION,1,2014
-58.390174667112404,-34.62000030452973,515.0,420000.0,CONSTITUCION,1,2014
-58.390174667112404,-34.62000030452973,485.0,450000.0,CONSTITUCION,1,2014
-58.39093692291934,-34.62919220809013,268.0,485000.0,CONSTITUCION,1,2014
-58.384291481709674,-34.618484490524835,342.0,500000.0,CONSTITUCION,1,2014
-58.384291481709674,-34.618484490524835,323.0,500000.0,CONSTITUCION,1,2014
-58.384291481709674,-34.618484490524835,208.0,510000.0,CONSTITUCION,1,2014
-58.38025160383876,-34.620921817224925,115.0,554000.0,CONSTITUCION,1,2014
-58.39093692291934,-34.62919220809013,184.0,590000.0,CONSTITUCION,1,2014
-58.38967583047449,-34.62520474703941,986.0,600000.0,CONSTITUCION,1,2014
-58.38967583047449,-34.62520474703941,285.0,600000.0,CONSTITUCION,1,2014
-58.38718782672771,-34.628661658110325,300.0,620000.0,CONSTITUCION,1,2014
-58.37885907408741,-34.61970522538149,580.0,690000.0,CONSTITUCION,1,2014
-58.37571594786143,-34.62736738347329,537.0,700000.0,CONSTITUCION,1,2014
-58.3826621522389,-34.630724936187804,350.0,750000.0,CONSTITUCION,1,2014
-58.38900308492625,-34.62003450204155,900.0,850000.0,CONSTITUCION,1,2014
-58.37957316828177,-34.62494972341377,611.0,900000.0,CONSTITUCION,1,2014
-58.37918178808307,-34.6260773030728,764.0,975000.0,CONSTITUCION,1,2014
-58.38025160383876,-34.620921817224925,537.0,1050000.0,CONSTITUCION,1,2014
-58.37957316828177,-34.62494972341377,713.0,1150000.0,CONSTITUCION,1,2014
-58.387218889952706,-34.62112370090923,1023.0,1150950.0,CONSTITUCION,1,2014
-58.37977577438323,-34.62372995949289,600.0,1200000.0,CONSTITUCION,1,2014
-58.385784404304154,-34.623449212237055,1100.0,1500000.0,CONSTITUCION,1,2014
-58.388920253025866,-34.618737515492114,450.0,1500000.0,CONSTITUCION,1,2014
-58.39049007964121,-34.618050625167626,139.0,298000.0,MONSERRAT,1,2014
-58.37601000547792,-34.61486376630125,231.0,308000.0,MONSERRAT,1,2014
-58.38638794981959,-34.60995399801461,248.0,396000.0,MONSERRAT,1,2014
-58.38122779869135,-34.615414618352325,260.0,420000.0,MONSERRAT,1,2014
-58.37914629415286,-34.61407997908797,380.0,450000.0,MONSERRAT,1,2014
-58.38897809241178,-34.61456105342341,300.0,480000.0,MONSERRAT,1,2014
-58.386238530807574,-34.61344172038505,194.0,490000.0,MONSERRAT,1,2014
-58.386238530807574,-34.61344172038505,530.0,490000.0,MONSERRAT,1,2014
-58.37749145698578,-34.614944516009324,565.0,550000.0,MONSERRAT,1,2014
-58.38605212821484,-34.61666240226073,475.0,580000.0,MONSERRAT,1,2014
-58.38587404542805,-34.6177136744297,440.0,590000.0,MONSERRAT,1,2014
-58.381559687798216,-34.61662329775736,574.0,640000.0,MONSERRAT,1,2014
-58.38181557143538,-34.611781442762194,432.0,750000.0,MONSERRAT,1,2014
-58.387463827376344,-34.61104454715056,619.0,900000.0,MONSERRAT,1,2014
-58.38897809241178,-34.61456105342341,660.0,950000.0,MONSERRAT,1,2014
-58.38589194600601,-34.616820799433306,640.0,970000.0,MONSERRAT,1,2014
-58.37899431458347,-34.61396590692853,379.0,1000000.0,MONSERRAT,1,2014
-58.38911404531908,-34.61362833706276,1321.0,1050000.0,MONSERRAT,1,2014
-58.38302616608625,-34.6175995585901,775.0,1050000.0,MONSERRAT,1,2014
-58.37631637975764,-34.60916280443468,590.0,1250000.0,MONSERRAT,1,2014
-58.37606746589959,-34.61377018060883,550.0,1400000.0,MONSERRAT,1,2014
-58.37479454047885,-34.6113420004552,826.0,1500000.0,MONSERRAT,1,2014
-58.381505336685066,-34.61752591742382,750.0,2200000.0,MONSERRAT,1,2014
-58.3762563821247,-34.61388476243193,900.0,3000000.0,MONSERRAT,1,2014
-58.373357043453595,-34.61125279526033,2817.0,6000000.0,MONSERRAT,1,2014
-58.36391595762346,-34.61148470395429,8765.0,31554000.0,PUERTO MADERO,1,2014
-58.3753524341804,-34.59856847852685,158.0,2300000.0,RETIRO,1,2014
-58.3715539311707,-34.587203794938674,7000.0,35000000.0,RETIRO,1,2014
-58.38956487439686,-34.60057679566688,214.0,860000.0,SAN NICOLAS,1,2014
-58.38956487439686,-34.60057679566688,242.0,900000.0,SAN NICOLAS,1,2014
-58.39076222702175,-34.605396072710114,423.0,940000.0,SAN NICOLAS,1,2014
-58.3792153634457,-34.604906788266675,160.0,1000000.0,SAN NICOLAS,1,2014
-58.3792153634457,-34.604906788266675,140.0,1190000.0,SAN NICOLAS,1,2014
-58.381485188402785,-34.60624934429711,456.0,1200000.0,SAN NICOLAS,1,2014
-58.37784186488629,-34.60476104342127,332.0,1300000.0,SAN NICOLAS,1,2014
-58.37636506110383,-34.60583036485868,415.0,1300000.0,SAN NICOLAS,1,2014
-58.39194708381301,-34.60680792100319,158.0,1400000.0,SAN NICOLAS,1,2014
-58.38956487439686,-34.60057679566688,276.0,1400000.0,SAN NICOLAS,1,2014
-58.38803864716008,-34.60157775054451,765.0,1850000.0,SAN NICOLAS,1,2014
-58.37382846332629,-34.60097880612591,299.0,2300000.0,SAN NICOLAS,1,2014
-58.38084079655618,-34.60594931380331,915.0,3500000.0,SAN NICOLAS,1,2014
-58.377907381962224,-34.603492268637254,2200.0,27000000.0,SAN NICOLAS,1,2014
-58.36994988887986,-34.62053779135323,92.0,330000.0,SAN TELMO,1,2014
-58.36822299008048,-34.62407605412206,122.0,380000.0,SAN TELMO,1,2014
-58.366912042331364,-34.621449075372766,248.0,396000.0,SAN TELMO,1,2014
-58.373974677082174,-34.62542292689391,334.0,460000.0,SAN TELMO,1,2014
-58.36678118168744,-34.622565746365154,320.0,490000.0,SAN TELMO,1,2014
-58.36973261249377,-34.622795392135906,930.0,490000.0,SAN TELMO,1,2014
-58.37628453092696,-34.626140507255634,768.0,520000.0,SAN TELMO,1,2014
-58.37596436466032,-34.61969048822908,545.0,700000.0,SAN TELMO,1,2014
-58.377200315330064,-34.62074818141719,379.0,750000.0,SAN TELMO,1,2014
-58.37719787673068,-34.62193100477875,430.0,750000.0,SAN TELMO,1,2014
-58.375714438752134,-34.623390493687225,342.0,795000.0,SAN TELMO,1,2014
-58.37312414434383,-34.61616514295126,420.0,900000.0,SAN TELMO,1,2014
-58.37285856090249,-34.620587431165966,650.0,900000.0,SAN TELMO,1,2014
-58.371069936213075,-34.625232867324,551.0,980000.0,SAN TELMO,1,2014
-58.373974677082174,-34.62542292689391,3300.0,1300000.0,SAN TELMO,1,2014
